Dataid,Brand,Images,Interested_count,Item_description,Likes,Link,MarketStatus,Price,SearchDate,SellerId,SellerName,Size,Title,Upload_date,View_count,Condition,Page,SearchCount
5646153113,Nike,[],1.0,Totalmente nuevas y originales Talla 38.5,0,https://www.vinted.it/items/5646153113-nike-infinity-run-4-goretex?referrer=catalog,Sold,70.0,13/01/2025 11:28:03,478,carla59215,38.5,Nike infinity run 4 goretex,41 min,6.0,Condizioni,1,3
5646255353,Gabor,[],1.0,Boots marron avec une fermeture éclair.Talon de 5 cm. État neuf,0,https://www.vinted.it/items/5646255353-boots-marron?referrer=catalog,Sold,11.0,13/01/2025 11:28:02,479,edithlienard,40,Boots marron,24 min,8.0,Condizioni,1,6
5646158443,Esprit,[],,"Nooit gedragen, vallen kleiner",0,https://www.vinted.it/items/5646158443-esprit-pantoffels-zwart?referrer=catalog,Sold,10.0,13/01/2025 11:40:20,480,asjadebruijne,39,Esprit pantoffels zwart,Unknown,,Unknown,1,3
5646188503,Corina,[],,Botas muy muy bonitas talla38nuevas,1,https://www.vinted.it/items/5646188503-botas?referrer=catalog,Sold,7.0,13/01/2025 11:49:55,481,nicoletaa.d,38,Botas,un'ora,26.0,Condizioni,1,4
5646707493,Michael Kors,[],,Basket MK noir avec des paillettes sur le côté,0,https://www.vinted.it/items/5646707493-basket-mk?referrer=catalog,Sold,35.0,13/01/2025 12:49:48,482,sarahib18,39,Basket MK,14 min,5.0,Condizioni,1,0
5646704741,Brand non indicato,[],,Neuve,0,https://www.vinted.it/items/5646704741-basket-fourre?referrer=catalog,Sold,5.0,13/01/2025 12:49:48,483,mamymoun40,41,Basket fourré,17 min,3.0,Condizioni,1,0
5646569258,Brand non indicato,[],,Nuove,0,https://www.vinted.it/items/5646569258-espadrillas-n-37-e-n-38?referrer=catalog,Sold,2.0,13/01/2025 12:49:48,484,mattioli1963,37,Espadrillas n. 37 e n. 38,43 min,0.0,Condizioni,7,0
5646605296,seqwl,[],1.0,"- kniehohe Westernstiefel - Schokobraun - weite Passform - EU: 36 - NP: 57,99€",1,https://www.vinted.it/items/5646605296-seqwl-cowboy-boots?referrer=catalog,Sold,25.0,13/01/2025 12:49:48,485,anka.mhrgs,36,SEQWL Cowboy Boots,38 min,6.0,Condizioni,5,0
5646721529,Zara,[],,🪲☘️ • BRAND - Zara • SIZE - 38 • CONDITION - new • COLOUR - army green Open for offers 🧞 check my profile for more goodies & follow for daily uploads! 🧚🏻‍♀️,0,https://www.vinted.it/items/5646721529-brand-new-zara-y2k-chunky-platform-sneakers-army-green?referrer=catalog,Sold,8.63,13/01/2025 12:53:47,486,mental.cig,38,Brand new Zara y2k chunky platform sneakers army green,23 min,3.0,Condizioni,1,0
5647480703,Tosca Blu,[],,Tosca blu numero 40 modello espositivo Nuove,2,https://www.vinted.it/items/5647480703-tosca-blu-n-40-nuove?referrer=catalog,Sold,10.0,13/01/2025 14:58:05,278,Ultiminumerishoes,40.0,Tosca blu n. 40 nuove,14 min,8.0,Condizioni,3,0
5647586681,Steve Madden,[],,Steve Madden,0,https://www.vinted.it/items/5647586681-steve-madden-maat-41?referrer=catalog,Sold,20.0,13/01/2025 15:10:47,487,kim35776,41.0,Steve Madden maat 41,Unknown,,Unknown,2,0
5647583548,Billi bi,[],1.0,2 keer gedragen maar helaas te klein gekocht Geen beschadigingen,1,https://www.vinted.it/items/5647583548-billi-bi-laarsjes-maat-38-volledig-leer?referrer=catalog,Sold,15.0,13/01/2025 15:14:23,488,roencher,38.0,Billi bi laarsjes maat 38 volledig leer,15 min,13.0,Condizioni,3,0
5647522568,UGG,[],3.0,Porté 30 min à l’intérieur Neuves,2,https://www.vinted.it/items/5647522568-chausson-ugg?referrer=catalog,Sold,38.0,13/01/2025 15:14:23,489,amanda0173,36.0,Chausson Ugg,25 min,8.0,Condizioni,3,0
5647661027,Puma,[],1.0,"☑️Calzado deportivo para correr. También para hacer deporte o incluso trabajar muchas horas de pie. ✅Son muy cómodas, gracias a la suela gruesa y la plantilla amortiguadora con memory found (adapta la pisada). 👉Fue un regalo de navidad, las usé una sola vez, pero no me veo con calzado oscuro, siempre utilizo zapatillas blancas. 🧐Aprovecha el envío, hago descuento por lote. Echa un vistazo a mi armario! 🇪🇸 Preferentemente envio a través de Correos. ⁉️Si tienes alguna pregunta o necesitas más fotos, no dudes en hablarme!",1,https://www.vinted.it/items/5647661027-deportivas-running-gimnasio-deporte?referrer=catalog,Sold,19.0,13/01/2025 15:16:12,490,andrearg13,37,Deportivas running gimnasio deporte,8 min,1.0,Condizioni,1,2
5647663592,Katz,[],,Ich verkaufe meine nagelneuen Tanzschuhe der Firma Katz. Ich habe sie nie getragen. Der Absatz ist mir zu hoch. Keine Rücknahme und keine Garantie da Privatverkauf.,0,https://www.vinted.it/items/5647663592-tanzschuhe-silber?referrer=catalog,Sold,40.0,13/01/2025 15:16:12,491,ilonaheilig,38,Tanzschuhe Silber,9 min,0.0,Condizioni,1,2
5647634835,UGG,"['https://images1.vinted.net/t/04_01194_FyBSxndW8xUH3TB9cbZT7wD1/f800/1736777462.jpeg?s=782f11c7b89d742f4268774c99303edbbee8b092', 'https://images1.vinted.net/t/04_01530_MSMoL7tB2wT31cdsWTLLDg5G/f800/1736777462.jpeg?s=48c324d7236bed69775fbb0e9a58cb1b1985502d', 'https://images1.vinted.net/t/04_02222_83zfyDYVuhPjB4gnK1r37LhZ/f800/1736777462.jpeg?s=90708b8b9bab930c9839a38d26a4871334ce710b', 'https://images1.vinted.net/t/02_020c9_ZbMEeBEHRXjZxeTwU8KXZhYi/f800/1736777462.jpeg?s=3a3fe06e159350c394d21c89036a6a6f67a234e4', 'https://images1.vinted.net/t/04_0203c_wEsPBrMpD6RitPdMcUQnEUwQ/f800/1736777462.jpeg?s=9ef4732331d0e00c975e6c559f99d1dd31ba7ac7', 'https://images1.vinted.net/t/04_00a71_1x2i3KmWzrDLujkwPE7MkwBA/f800/1736777462.jpeg?s=cb5c7ffeedb5cd3d7382ffe81ba35ad6cb22c981', 'https://images1.vinted.net/t/04_01446_kevY7BeaB27H3f7QrSEHngEd/f800/1736777462.jpeg?s=76954f301837b1b3555512a64d8b4f5fdb7885b6', 'https://images1.vinted.net/t/04_01e8d_YmdQT1h57rGa5Hgyph2kNM3P/f800/1736777462.jpeg?s=5897c4ab0809301f79c77ec6a1edb54ec5d26a0a', 'https://images1.vinted.net/t/04_00b83_PWtce4WCL2T11AeuiCQiumnX/f800/1736777462.jpeg?s=19dbe7857f0bf9b5c70e72a00e5699535bc5eefe']",1.0,"Christmas gift, received and kept until recently, have not used it yet",0,https://www.vinted.it/items/5647634835-ugg-classic-ultra-mini-boot?referrer=catalog,Sold,98.12,13/01/2025 15:34:32,492,maxou01700,37,Ugg Classic Ultra Mini Boot,26 min,5.0,Condizioni,5,0
5647629625,Mano,"['https://images1.vinted.net/t/04_00099_wuiCVfKANBPrWmitjuEWk13F/f800/1736777415.jpeg?s=4eafe6d707031f8d71386316b32b518be1e06afb', 'https://images1.vinted.net/t/04_0072b_G8xi2hojVa7H1Rk7cbPCZ1Si/f800/1736777415.jpeg?s=f12ee850cd117f26c34bed95cb7e56b5fd1ca131', 'https://images1.vinted.net/t/04_00f06_KjJyzurE8DpJ2wxQeuBYQ6bi/f800/1736777415.jpeg?s=bd4cf9a076d08ed194345ee279cbdb8176a46a60', 'https://images1.vinted.net/t/04_0094c_oCPZ9Qb7DLj6NNPA581qagB9/f800/1736777415.jpeg?s=eb71da11fc29e7de28a59daa4a5da4eb3ce7372c']",1.0,Realizzati a mano,1,https://www.vinted.it/items/5647629625-zoccoli-turchese-estivi?referrer=catalog,Sold,6.0,13/01/2025 15:35:03,493,solemio72,38,Zoccoli turchese estivi,28 min,10.0,Condizioni,8,0
5647629625,Mano,"['https://images1.vinted.net/t/04_00099_wuiCVfKANBPrWmitjuEWk13F/f800/1736777415.jpeg?s=4eafe6d707031f8d71386316b32b518be1e06afb', 'https://images1.vinted.net/t/04_0072b_G8xi2hojVa7H1Rk7cbPCZ1Si/f800/1736777415.jpeg?s=f12ee850cd117f26c34bed95cb7e56b5fd1ca131', 'https://images1.vinted.net/t/04_00f06_KjJyzurE8DpJ2wxQeuBYQ6bi/f800/1736777415.jpeg?s=bd4cf9a076d08ed194345ee279cbdb8176a46a60', 'https://images1.vinted.net/t/04_0094c_oCPZ9Qb7DLj6NNPA581qagB9/f800/1736777415.jpeg?s=eb71da11fc29e7de28a59daa4a5da4eb3ce7372c']",1.0,Realizzati a mano,1,https://www.vinted.it/items/5647629625-zoccoli-turchese-estivi?referrer=catalog,Sold,6.0,13/01/2025 15:34:53,494,solemio72,38,Zoccoli turchese estivi,29 min,10.0,Condizioni,7,0
